dataset,method,probe,test_fold,bin,f1_macro,n_test
aef,shrink_a0.05,knn,5,overall,0.4744827048701274,16640
aef,shrink_a0.05,knn,5,tiny(<50),0.3168073829328602,2437
aef,shrink_a0.05,knn,5,small(50-150),0.3923405805633062,6214
aef,shrink_a0.05,knn,5,medium(150-500),0.5157804198485025,5956
aef,shrink_a0.05,knn,5,large(>500),0.5907032486541934,2033
aef,shrink_a0.1,linear,1,overall,0.5902910686524085,17229
aef,shrink_a0.1,linear,1,tiny(<50),0.3356714451026735,2468
aef,shrink_a0.1,linear,1,small(50-150),0.502512535551719,6598
aef,shrink_a0.1,linear,1,medium(150-500),0.648650977036341,6256
aef,shrink_a0.1,linear,1,large(>500),0.7112292049424777,1907
aef,shrink_a0.1,knn,1,overall,0.4723407407188943,17229
aef,shrink_a0.1,knn,1,tiny(<50),0.2964735916676393,2468
aef,shrink_a0.1,knn,1,small(50-150),0.3869958832565729,6598
aef,shrink_a0.1,knn,1,medium(150-500),0.5149543080417418,6256
aef,shrink_a0.1,knn,1,large(>500),0.5875911843228336,1907
aef,shrink_a0.1,linear,2,overall,0.5883449529156537,17559
aef,shrink_a0.1,linear,2,tiny(<50),0.3466941235812637,2846
aef,shrink_a0.1,linear,2,small(50-150),0.5122922108418999,6651
aef,shrink_a0.1,linear,2,medium(150-500),0.6512687486302089,6126
aef,shrink_a0.1,linear,2,large(>500),0.6882507028562972,1936
aef,shrink_a0.1,knn,2,overall,0.4640975175927465,17559
aef,shrink_a0.1,knn,2,tiny(<50),0.3019679561632682,2846
aef,shrink_a0.1,knn,2,small(50-150),0.3881026573487139,6651
aef,shrink_a0.1,knn,2,medium(150-500),0.5130469054016524,6126
aef,shrink_a0.1,knn,2,large(>500),0.5652700650463989,1936
aef,shrink_a0.1,linear,3,overall,0.5876052607995192,17045
aef,shrink_a0.1,linear,3,tiny(<50),0.3924542755615231,2620
aef,shrink_a0.1,linear,3,small(50-150),0.5185429888956183,6288
aef,shrink_a0.1,linear,3,medium(150-500),0.6421597930415204,6205
aef,shrink_a0.1,linear,3,large(>500),0.7055089457361643,1932
aef,shrink_a0.1,knn,3,overall,0.4685514271664051,17045
aef,shrink_a0.1,knn,3,tiny(<50),0.3199723611729992,2620
aef,shrink_a0.1,knn,3,small(50-150),0.3978562826933383,6288
aef,shrink_a0.1,knn,3,medium(150-500),0.5059069450242623,6205
aef,shrink_a0.1,knn,3,large(>500),0.546364890090713,1932
aef,shrink_a0.1,linear,4,overall,0.6092856243607138,17478
aef,shrink_a0.1,linear,4,tiny(<50),0.3724916486164337,2498
aef,shrink_a0.1,linear,4,small(50-150),0.5235051221153033,6773
aef,shrink_a0.1,linear,4,medium(150-500),0.6770173139332845,6372
aef,shrink_a0.1,linear,4,large(>500),0.752236988107034,1835
aef,shrink_a0.1,knn,4,overall,0.4822654851524542,17478
aef,shrink_a0.1,knn,4,tiny(<50),0.2845511157672465,2498
aef,shrink_a0.1,knn,4,small(50-150),0.4063731757733349,6773
aef,shrink_a0.1,knn,4,medium(150-500),0.5396618071558886,6372
aef,shrink_a0.1,knn,4,large(>500),0.5740675384196012,1835
aef,shrink_a0.1,linear,5,overall,0.586882016587349,16640
aef,shrink_a0.1,linear,5,tiny(<50),0.3624726516505327,2437
aef,shrink_a0.1,linear,5,small(50-150),0.5053043689825203,6214
aef,shrink_a0.1,linear,5,medium(150-500),0.6447210072139287,5956
aef,shrink_a0.1,linear,5,large(>500),0.6849322852649696,2033
aef,shrink_a0.1,knn,5,overall,0.4751417950624796,16640
aef,shrink_a0.1,knn,5,tiny(<50),0.3102148964471155,2437
aef,shrink_a0.1,knn,5,small(50-150),0.3940379661391229,6214
aef,shrink_a0.1,knn,5,medium(150-500),0.5166950168579192,5956
aef,shrink_a0.1,knn,5,large(>500),0.5952158915736621,2033
aef,shrink_a0.25,linear,1,overall,0.5896627209349758,17229
aef,shrink_a0.25,linear,1,tiny(<50),0.3284487678467665,2468
aef,shrink_a0.25,linear,1,small(50-150),0.5046493583703806,6598
aef,shrink_a0.25,linear,1,medium(150-500),0.6457539856059689,6256
aef,shrink_a0.25,linear,1,large(>500),0.7130214518463847,1907
aef,shrink_a0.25,knn,1,overall,0.4769270025610899,17229
aef,shrink_a0.25,knn,1,tiny(<50),0.3121792638245225,2468
aef,shrink_a0.25,knn,1,small(50-150),0.3961115375484932,6598
aef,shrink_a0.25,knn,1,medium(150-500),0.5152706152508562,6256
aef,shrink_a0.25,knn,1,large(>500),0.5840913362373816,1907
aef,shrink_a0.25,linear,2,overall,0.5874562204539041,17559
aef,shrink_a0.25,linear,2,tiny(<50),0.3462004225596145,2846
aef,shrink_a0.25,linear,2,small(50-150),0.5111194209631633,6651
aef,shrink_a0.25,linear,2,medium(150-500),0.6513715418415764,6126
aef,shrink_a0.25,linear,2,large(>500),0.6844257079341765,1936
aef,shrink_a0.25,knn,2,overall,0.4670326743094011,17559
aef,shrink_a0.25,knn,2,tiny(<50),0.3028507047109161,2846
aef,shrink_a0.25,knn,2,small(50-150),0.3972729495523953,6651
aef,shrink_a0.25,knn,2,medium(150-500),0.5139484198899043,6126
aef,shrink_a0.25,knn,2,large(>500),0.5524547535983678,1936
aef,shrink_a0.25,linear,3,overall,0.5822530400089894,17045
aef,shrink_a0.25,linear,3,tiny(<50),0.4415961316858395,2620
aef,shrink_a0.25,linear,3,small(50-150),0.5147285858791142,6288
aef,shrink_a0.25,linear,3,medium(150-500),0.6321307192820105,6205
